idx,question,choice_A,choice_B,choice_C,choice_D,correct_answer,domain,label,task,annotator_id,question_comments,choices_comments
522,"The population of a small town can be modeled by the equation $P = 5000 + 250t$, where $P$ represents the population and $t$ represents the number of years since 2010. What does the value 5000 represent in this context?",The annual increase in population,The current population,The initial population in 2010,The maximum population capacity,C,Algebra,Linear functions,Make connections between an algebraic representation of a linear function in context.,Annotator 2,"The wording of the task seems incomplete; it uses the term ""between"" but does not list two things that one is looking to connect. 
Also, population very rarely grows linearly, so this may not reflect ""real life""",None || None || None || None
697,"A phone company charges a monthly fee of \$40 plus \$0.15 per text. Which linear function represents the total monthly bill, $B(t)$, in dollars, for $t$ texts?",$B(t) = 0.15t$,$B(t) = 40t + 0.15$,$B(t) = 40.15t$,$B(t) = 0.15t + 40$,D,Algebra,Linear functions,Identify or create a linear function to model a relationship between two quantities.,Annotator 2,"I don't know if ""long-distance"" is a thing that exists or that high school students understand. Also updated answers with LaTex",None || None || None || None
576,The linear function $h(x) = 2x + 5$ is reflected across the line $y = x$ and then shifted up 3 units. What is the y-intercept of the resulting function?,2,5,$-5/2$,8,D,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 2,"Still don't understand this task ""
Make connections between an algebraic representation of a linear function not in context."" Make connections between an algebraic representation and WHAT???
Either way, if this did match the task, the answer is incorrect and the correct answer does not even appear.",None || None || None || None
695,Two linear functions $f(x)$ and $h(x)$ are given such that $f(x) - h(x) = 4x + 2$ and $f(x) + h(x) = 2x - 6$. What is the value of $f(0)?$,$-6$,$-2$,$-1$,$2$,B,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 2,Not approving any questions with this task since I do not understand it and there are words missing.,None || None || None || None
567,"A community pool loses 4 gallons of water per day due to evaporation and starts with 2500 gallons. Which linear function represents the amount of water, $W(d)$, in gallons remaining in the pool after d days?",W(d) = (2500 - 4)d,W(d) = 2500 - 4d,W(d) = 2500 + 4d,W(d) = -4d - 2500,B,Algebra,Linear functions,Identify or create a linear function to model a relationship between two quantities.,Annotator 4,B and D are the same answers. Revised option D to be incorrect,None || None || None || None
588,"A streaming service offers movies for rental. The total rental cost in dollars is given by $C = 1.99 + 0.35t$, where $t$ represents the viewing time in hours. What does $0.35$ represent in this equation?",The cost in dollars charged per day of viewing,The cost in dollars charged per hour of viewing,The cost in dollars charged per movie rented,The fixed cost in dollars charged per rental,B,Algebra,Linear functions,"For a linear function that represents a context, interpret the meaning of an input/output pair, constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 2,"I commented on this one before recommending changing streaming service, but if others think this term is not distracting or unknown, it's fine as is. I think students know what Netflix is, but don't necessarily think what it's generically called. Also this cost model doesn't exist and doesn't make a ton of sense. ",None || None || None || None
94,"A student saves money each week. The equation $S = 200 + 15t$ models the total savings, $S$, in dollars, $t$ weeks after the student starts saving. What does the value 200 represent in this context?",The amount the student start with,The amount saved each week,The increase in savings each week,The total savings after one week,A,Algebra,Linear functions,Make connections between an algebraic representation of a linear function in context.,Annotator 2,Removed unnecessary ' ' in prompt. Updated wording in answers.,None || None || None || None
901,"The distance a drone flies from its starting point can be modeled by the equation $d = 12 + 40t$, where $d$ is the distance in meters and $t$ is the time in minutes. What does the value 12 represent in this context?","The distance the drone travels each minute, in meters","The distance the drone travels in $0.3$ minutes, in meters","The total distance flown by the drone after $t$ minutes, in meters","The initial distance, in meters, of the drone from its starting point",D,Algebra,Linear functions,Make connections between an algebraic representation of a linear function in context.,Annotator 2,"I tried to rewrite this one a few times but the idea wasn't clear enough. In this problem it is very confusing that the ""starting point"" is not actually the starting point, it's actually 12 meters away.  I tried to make it clear that it's 12 meters away at 0 minutes but again that would be the starting point (unless the problem made clear the timer started when it hit 12 meters). ",None || None || None || None
878,"The linear function $f(x) = ax + b$ is transformed by first replacing $x$ with $(x - 3)$, and then taking the reciprocal of the result. If the slope of the final transformed function is $-1/4$ and the original function has a y-intercept of 2, what is the value of a?",1,-4,-1,4,A,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 4,"Adjusted answer choices to keep the correct choice at option A. Also - this is a calculus topic... are we giving this to students who will have taken calculus already? If not, it would not be worth giving the question.",None || None || None || None
844,"A savings account earns interest at a fixed rate. The equation $y = 1000 + 60x$ represents the account balance $y$, in dollars, $x$ months after an initial deposit. When graphed in the $xy$-plane, what does the slope of the line represent?",The account balance after $x$ months,The initial deposit in dollars,The monthly interest earned in dollars,The monthly interest rate percentage,C,Algebra,Linear functions,Interpret the graph of a linear function in a context.,Annotator 3,"A fixed rate for interest is usually in the decimal format of the percent (like 0.05 = 5%). Having the slope be 60 is very strange for an interest problem. There's no graph, so that part is irrelevant to the problem stem, and the choices don't imply a rate (which usually includes the word, ""per""). The Task also states students should interpret a graph, which does not match this problem. ",None || None || None || None
878,"The linear function $f(x) = ax + b$ is transformed by first replacing $x$ with $(x - 3)$, and then taking the reciprocal of the result. If the slope of the final transformed function is $-1/4$ and the original function has a y-intercept of 2, what is the value of a?",4,-4,4-Jan,1,A,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 3,"If you take the reciprocal of a linear function, it is no longer linear, making the question asking about the new slope meaningless. And the wording is super confusing. The answers have ""January"" as one of the choices.",None || None || None || None
822,"If the composition of two linear functions f and g results in the identity function, such that $f(g(x)) = x$, what must be true about the slopes of f and g?",Their product is $1$,Their product is $-1$,Their sum is $0$,Both slopes are $1$,A,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 2,Compositions do not fall under this task,None || None || None || None
751,"A student starts a savings account with \$50 and adds \$15 each week. Which linear function models the total savings, $S(w)$, in dollars after $w$ weeks?",$S(w)=15w$,$S(w)=15 +50w$,$S(w)=50 +15w$,$S(w)=65w$,C,Algebra,Linear functions,Identify or create a linear function to model a relationship between two quantities.,Annotator 2,"Prompt simplified. Answers updated to represent functions, not expressions.",None || None || None || None
877,"A scientist cools a substance at a constant rate. After 2 hours, the substance's temperature is $200$°C. After 5 hours, the temperature is $140$°C. What was the initial temperature of the substance before cooling began?",$240$°C,$160$°C,$220$°C,$300$°C,A,Algebra,Linear functions,Create and use linear functions to solve problems in a variety of contexts.,Annotator 3,It would be nice to add what substance it is. After 2 hours to be nearly 400º F is still pretty hot. I don't know what that would be.,None || None || None || None
799,A car's fuel tank is being drained while the engine is running. The equation \( F = 15 - 0.8h \) models the remaining fuel in gallons after \( h \) hours. What does the coefficient -0.8 represent in this equation?,The rate at which fuel is drained per hour,The total amount of fuel that can be drained,The number of hours until the tank is empty,The amount of fuel remaining after one hour,A,Algebra,Linear functions,"For a linear function that represents a context, interpret the meaning of an input/output pair, constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 3,"If this is universal, should liters be used instead of gallons?",None || None || None || None
580,A swimming pool with a flat bottom is being filled with water. The equation $d = 3 + 0.8t$ represents the depth ($d$) of water in feet after $t$ minutes of filling. What does the value $3$ represent in this context?,"The initial depth of water in the pool, in feet","The maximum depth of water in the pool, in feet","The rate at which the water depth increases, in feet per minute","The width of the pool, in feet",A,Algebra,Linear functions,Make connections between an algebraic representation of a linear function in context.,Annotator 3,Adding that the pool has a flat bottom.,None || None || None || None
544,"Two linear functions $f(x)$ and $h(x)$ are given, where $f(x) = 2x + 3$. If $f(h(x)) = 6x - 5$, what is $h(x)?$",$2x -4$,$3x -14$,$3x -4$,$3x -1$,C,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 2,I don't think composite functions fall under this task. ,None || None || None || None
576,The linear function $h(x) = 2x + 5$ is reflected across the x-axis and then shifted up 3 units. What is the y-intercept of the resulting function?,2,5,$-5/2$,8,D,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 2,"I'm not 100% sure these type of transformations match the task, but I updated it to be correct.",None || None || None || None
544,"Two linear functions $f(x)$ and $h(x)$ are given, where $f(x) = 2x + 3$. If $f(h(x)) = 6x - 5$, what is $h(x)?$",$2x -4$,$3x -14$,$3x -4$,$3x -1$,C,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 1,I think the label/task might need to be updated to something like function manipulation or combining functions or composition of functions.,None || None || None || None
697,"A phone company charges a monthly fee of \$40 plus \$0.15 per text message. Which linear function represents the total monthly bill, $B(m)$, in dollars, for $m$ text messages?",$B(m) = 0.15m$,$B(m) = 40m + 0.15$,$B(m) = 40.15m$,$B(m) = 0.15m + 40$,D,Algebra,Linear functions,Identify or create a linear function to model a relationship between two quantities.,Annotator 2,Long distance phone calls??? Did they also use a telephone book. lol. I updated it to be more relevant in 2025 and added formatting for the answers,None || None || None || None
703,A candle burns linearly over time. The equation \( L = 20 - 0.5t \) models the candle's remaining length (\( L \)) in centimeters \( t \) hours after being lit. What does the coefficient $-0.5$ represent in this context?,The time taken to burn 1 centimeter,The initial length of the candle,The time taken to burn the candle completely,The length burned each hour,D,Algebra,Linear functions,Make connections between an algebraic representation of a linear function in context.,Annotator 2,updated formatting in prompt,None || None || None || None
709,"A tutor charges a one-time base fee of \$30 plus \$25 per hour of tutoring. Which of the following linear functions represents the total cost $C$, in dollars, for $h$ hours of tutoring?",$C = 25 + 30h$,$C = 25h$,$C = 30 + 25h$,$C = 55h$,C,Algebra,Linear functions,Identify or create a linear function to model a relationship between two quantities.,Annotator 2,updated answers because two were equivalent,None || None || None || None
840,"Plan A  charges an annual membership fee of \$75 and \$12 per delivery for a food delivery service. Plan B charges \$18 per delivery with no membership fee. If someone plans to use food delivery regularly, how many deliveries would make Plan A a better deal?",12,13,14,15,B,Algebra,Linear functions,Create and use linear functions to solve problems in a variety of contexts.,Annotator 2,Named plans and made question clearer.,None || None || None || None
846,"A taxi service charges a base fare of \$3.25 plus \$2.10 per mile traveled. Which linear function represents the total cost, C(m), in dollars for a ride of m miles?",$C(m) = 2.10(m + 3.25)$,$C(m) = 3.25m + 2.10$,$C(m) = 5.35m$,$C(m) = 2.10m + 3.25$,D,Algebra,Linear functions,Identify or create a linear function to model a relationship between two quantities.,Annotator 2,Updated answers,None || None || None || None
865,A12-inch candle burns at a constant rate of 0.75 inches per hour. The equation \( H = 12 - 0.75t \) models the candle's height \( H \) after \( t \) hours. After how many hours will the candle's height be 6 inches?,$6$,$7.5$,$8$,$16$,C,Algebra,Linear functions,"For a linear function that represents a context, given an input value, find and interpret the output value using the given representation, or given an output value, find and interpret the input value using the given representation, if it exists.",Annotator 2,Updated prompt and answers with different variable (not the same variable in a different case).,None || None || None || None
27,"A printing company charges customers by page length. One customer paid \$45 for 150 pages, while another paid \$75 for 300 pages. Based on this linear pricing model, how much would a customer pay for 400 pages?",\$65,\$95,\$120,\$83,B,Algebra,Linear functions,Create and use linear functions to solve problems in a variety of contexts.,Annotator 2,better distractors,None || None || None || None
102,"A student earns money tutoring at a constant hourly rate. After working 3 hours, they have earned \$27. If their total earnings, \(E(h)\), increase linearly with hours worked, \(h\), which equation represents their earnings?",$E(h) = 3h + 27$,$E(h) = h/9$,$E(h) = 9h$,$E(h) = 27h$,C,Algebra,Linear functions,Write the rule for a linear function given two input/output pairs or one input/output pair and the rate of change.,Annotator 2,Updated formatting in answers. Option B needs to look like a fraction,None || None || None || None
108,"If the sum of the linear functions $f(x) = mx + 4$ and $g(x) = nx - 2$ is a constant function, what must be true about $m$ and $n$?",$m = -n$,$m = n$,$m + n = 2$,$m = -4 and n = 2$,A,Algebra,Linear functions,Make connections between an algebraic representation of a linear function not in context.,Annotator 2,I don't think this matches the task 100% but it's not awful. Updated formatting on answers and better distractor,None || None || None || None
487,"A biologist models the population of bacteria in a petri dish as $P(t) = 1200 - 900(0.6)^t$, where $t$ is the time in hours. What does the horizontal asymptote of the graph of $P(t)$ represent in this context?",The initial population of bacteria in the petri dish,The minimum population the petri dish can sustain,The average population of bacteria over the first 10 hours,The maximum population the petri dish can sustain,D,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 3,"I think I remember in the training that if the prompt asks students about something graphical, we should give it a 1. While students may be able to discern what a horizontal asymptote is, or maybe they have a graphing calculator to graph it, this question is referring to a graph that is not included. Also, this refers to a petri dish, something not all students may be familiar with. ",None || None || None || None
517,The function f is defined by $f(x) = 5 \times 3^{x-3} + 2$. For what value of x does $f(x) = 47$?,2,4,5,6,C,Advanced Math,Nonlinear Functions,"Use function notation to represent and interpret input/output pairs - for exponential, polynomial, radical, and rational functions, find the input value for a corresponding output.",Annotator 3,Students will plug in the solutions until they find the correct one.,None || None || None || None
493,The table below shows selected values for a quadratic function $f(x)$. Which of the following equations defines $f(x)$?\n\nx | f(x)\n2 | 3\n3 | 4\n4 | 7\n5 | 12,$-x^2 + 4x + 7$,$x^2 - 4x + 7$,$x^2 + 4x + 7$,$2x^2 - 4x + 3$,B,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, not in context.",Annotator 3,"The format of the table is confusing, and students can plug the answers in until they find their solution. The answer choices should also have an ""f(x)"" in them, but I don't think this question is worth modifying since the look of the table is very confusing.",None || None || None || None
565,"A cup of coffee cools in a room. Its temperature is modeled by $C(t) = 24 + 90(0.88)^t$, where $C(t)$ is in degrees Celsius and $t$ is time in minutes. What does the horizontal asymptote of the graph of $C(t)$ represent in this context?","The temperature the coffee approaches, $0^{\circ}C$",The room temperature,The temperature after one hour,The initial temperature of the coffee,B,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 3,"The prompt relies on a graph, and it mentioned room temperature in the responses but does not mention room temperature anywhere in the prompt. This is relying on students' knowledge of physics (biology?) of something hot cools until it reaches the temperature of the room. I guess it could be modified to provide information about how something hot cools in a room, but I think it would take a lot to modify.",None || None || None || None
584,"The height of an arch bridge above the ground is modeled by the function $h(x) = -0.04x^2 + 4x$, where $x$ is the horizontal distance in meters from the base of the bridge. What information does the value of $h(x)$ 
 provide when $x$ is 25 in this context?",The height of the bridge 25 meters from its base,The maximum height of the bridge 25 meters from its base,The horizontal distance from the base 25 meters from its base,The minimum height of the bridge 25 meters from its base,A,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret a point on the graph.,Annotator 3,"I don't know what the ""base"" of a bridge is. I can guess it's where the arch starts? Not sure how to modify so it makes more sense, but I suspect teenagers won't know what the ""base"" of the bridge is, either. The choices are also very different in complexity since some of the options mention both values for x and y while others mention only one of the values. I attempted to equalize their cognitive expectation and reworded the prompt, but I'm not happy with choices C or D.",None || None || None || None
650,"A cup of coffee cools in a room at 25°C. Its temperature is modeled by $T(t) = (T_0 - 25)(0.9)^t + 25$, where $T_0$ is the initial temperature in °C. If the temperature is 70°C after $t$ = 3 hours, what was the initial temperature, $T_0$?",87,62,89,96,A,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of an input/output pair including an intercept or initial value, including situations where seeing structure provides an advantage.",Annotator 3,"All variables are defined except lowercase t. I added this definition, and I also wonder if having two of the same letter, upper and lower case, could be confusing for students. Consider changing one of the variable letters.",None || None || None || None
481,"The concentration of a medication in a patient's bloodstream is modeled by $M(t) = 50(0.8)^t + 20$, where $t$ is the number of hours after administration. What does the horizontal asymptote of the graph of $M(t)$ represent in this context?",The maximum concentration the medication reaches in the bloodstream,The rate at which the concentration decreases each hour,The base concentration before the medication was administered,The minimum concentration the medication approaches in the bloodstream,D,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 3,"M(t) is not defined in terms of its units of measure. Is it ppm? Or per liter? I'm also not a fan of implying that the medicine will never exit the bloodstream. If the minimum is 20 (whatever the units are), then it will be there forever? Doesn't seem like an appropriate model for medicine in the blood. There's also no graph.",None || None || None || None
562,A radioactive substance has a half-life of 8 years. A scientist models the remaining mass of the substance with an exponential function. Which form of the equation best displays the initial mass and the annual decay rate?,$M = M0(0.125)^t$,$M = M0(0.5)^t$,$M = M0(0.917)^t$,$M = M0(8)^t$,C,Advanced Math,Nonlinear Functions,Determine the most suitable form of the expression representing the output of the function to display key features for an exponential function.,Annotator 3,"Too many things to fix about this to make it worthwhile. Mo isn't defined, the formatting is all wrong, the time frame isn't defined to know how often the substance mass is cut in half, and I think the answer is incorrect.",None || None || None || None
489,The table below shows selected values for a function f(x). Which of the following equations defines f(x)?\n\nx | f(x)\n-2 | 0\n-1 | 1\n0 | 4\n1 | 9\n2 | 16,f(x) = $(x - 2)^2$,f(x) = $x^2 + 4$,f(x) = $x^2 + 2x$,f(x) = $(x + 2)^2$,D,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a polynomial function, simple rational function, or quadratic or exponential function that involves a transformation, not in context.",Annotator 3,I could throw this out due to the table being so confusing and nearly unreadable. I also think a student could plug in the x-values and figure out which equation it is. Although they'd be reasoning about the equations. ,None || None || None || None
595,"The height \( h(d) \), in meters, of a soccer ball above the ground as it travels horizontally is modeled by \( h(d) = -0.5d^2 + 4d + 1.5 \), where \( d \) is the horizontal distance in meters from where it was kicked. Which of the following describes the y-intercept and the positive x-intercept of the graph of \( h(d) \)?","The y-intercept is the initial height when kicked, and the x-intercept is the horizontal distance when the ball hits the ground.","The y-intercept is the maximum height of the ball, and the x-intercept is the horizontal distance when the ball hits the ground.","The y-intercept is the horizontal distance when the ball was kicked, and the x-intercept is the initial height when it was kicked.","The y-intercept is the initial height when kicked, and the x-intercept is the horizontal distance when the ball reaches maximum height.",A,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 3,"It's confusing why a ball would be kicked from any other height except the ground. I know sometimes soccer players kick it from the air, but mostly from the ground. This equation is saying that a ball was kicked 1.5 meters above the ground (roughly 5 feet off the ground) which seems dangerous and not realistic. Also, in the U.S., we call it soccer, but the rest of the world calls it futbol. The context is not universal when it's called 'soccer.'  I can see revising it to include a more universal (and realistic) context.",None || None || None || None
481,"The concentration of a medication in a patient's bloodstream is modeled by $M(t) = 50(0.8)^t + 20$, where $t$ is the number of hours after administration. What does the horizontal asymptote of the graph of $M(t)$ represent in this context?",The maximum concentration the medication reaches in the bloodstream,The rate at which the concentration decreases each hour,The base concentration before the medication was administered,The minimum concentration the medication approaches in the bloodstream,D,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 2,I think this requires specialized knowledge and could be assessed through a more accessible problem with a more commonly understood context.,None || None || None || None
423,"The height of a bouncing ball can be modeled by the quadratic function $h(t) = -16t^2 + 48t + 64$, where $h$ is the height in feet and $t$ is the time in seconds. Which form of the equation would be most useful for determining when the ball hits the ground?",Standard form: $h(t) = -16t² +48t +64$,Vertex form: $h(t) = -16(t - 1.5)² + 100$,Factored form: $h(t) = -16(t -4)(t +1)$,Factored form: $h(t) = -16(t)(t - 3)$,C,Advanced Math,Nonlinear Functions,Determine the most suitable form of the expression representing the output of the function to display key features for a quadratic function.,Annotator 4,Flipped C and D,None || None || None || None
520,"A tree's height was recorded each year for four years. The table shows the height, $f(x)$, in feet, $x$ years after planting. Which of the following equations best models the tree's height?\n\nx | f(x)\n0 | 6\n1 | 3\n2 | 2\n3 | 3",f(x) = −3x +6,f(x) = −x² + 2x +6,f(x) = −x² +4x +6,f(x) = x² −4x +6,C,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 4,"This question DOES involve a transformation, but the topic says it doesn't. I also don't understand why a tree would follow a quadratic growth pattern, decreasing in height after being planted. It also indicates that the height was tracked each year, for 4 years, but only gives 3 years of measurement beyond the initial height. The correct answer choice is actually the equation found in option D, which is the only positive equation. This can be fixed, but might not be worth the time.",None || None || None || None
572,"A company's profit is modeled by the function $P(x) = -x^2 + 30x - 125$, where $P(x)$ is measured in thousands of dollars, and the price of their product, \(x\), is measured in dollars. What does the point (10, 75) represent in this context?","When the product is priced at \$10, the profit is \$75","When the product is priced at \$10, the profit is \$75,000","When the product is priced at \$75, the profit is \$10,000","When the product is priced at \$10,000, the profit is \$75,000",B,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret a point on the graph.,Annotator 4,Revised stem for clarity,None || None || None || None
500,"The volume $V(r)$, in cubic centimeters, of a spherical balloon as it deflates is modeled by $V(r) = -r^2 + 8r + 15$, where $r$ is the radius in centimeters. Which of the following correctly describes what the vertical intercept and the horizontal intercept of $V(r)$ represent in this context?","The vertical intercept represents the maximum volume of 31 cubic centimeters, and the horizontal intercept represents a radius at which the balloon has no volume","The vertical intercept represents the initial volume of 15 cubic centimeters, and the horizontal intercept represents a radius at which the balloon has no volume","The vertical intercept represents the initial volume of 15 cubic centimeters, and the horizontal intercept represents the radius at which deflation begins","The vertical intercept represents the volume when the balloon is fully deflated, and the horizontal intercept represents the initial radius of 9.57 centimeters",B,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 1,"no x,y intercepts with V and r.    Also, the domain is r >= 0 since radius can't be negative, therefore there's only one horizontal intercept relevant to this scenario.",None || None || None || None
627,"A chemical reaction produces heat according to the function $H(t) = -2t^2 + 12t + H_0$, where $H(t)$ is the heat produced in kilojoules $t$ minutes after the reaction starts, and $H_0$ is the initial heat. If 22 kilojoules of heat are present after 4 minutes, what is the value of $H_0$?",6,-18,-10,14,A,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of an input/output pair including an intercept or initial value, including situations where seeing structure provides an advantage.",Annotator 2,The indicated answer was incorrect. ,None || None || None || None
